Transcripciones/unipi.itindex.phpp\Pagina1.txt.csv;Beca proyecto inclinados;Italia;Maestría;Universidad de Pisa;Inclinados hacia América Latina es un proyecto creado para promover la Universidad de Pisa en el continente Latinoamericano, El proyecto prevé la posibilidad de obtener una beca de estudio.;https://www.unipi.it/index.php/programas-hacia-america-latina/item/4021-estudiantes-de-america-latina-proyecto-inclinados
Transcripciones/computer.ing.unipi.itai\Pagina2.txt.csv;Laurea Magistrale (MSc) in Artificial Intelligence and Data Engineering ;Italia;Maestría;Universidad de Pisa;El MSc proporciona una sólida educación en profundidad que permite a los graduados diseñar e implementar, por un lado, sistemas para administrar de manera eficiente una gran cantidad de datos y extraer conocimiento útil de estos datos, y, por el otro, sistemas inteligentes mediante la explotación de la inteligencia artificial;https://computer.ing.unipi.it/aide-lm
Transcripciones/unipi.itindex.phpl\Pagina3.txt.csv;Curso de grado en inteligencia artificial e ingenieria de datos;Italia;Maestría;Universidad de Pisa;El Programa de Maestría en Inteligencia Artificial e Ingeniería de Datos ofrece una formación sólida y profunda que permite a sus egresados ??diseñar e implementar sistemas informáticos para gestionar de manera eficiente grandes cantidades de datos;https://www.unipi.it/index.php/lauree/corso/11227
Transcripciones/becas-sin-fronteras.com\Pagina4.txt.csv;Becas para Estudios Académicos de Posgrado e Investigación;Argentina, Bolivia, Brasil, Canadá, Costa Rica, entre otros;Maestría, Doctorado, Postdoctorado, Investigación;Organización de los Estados Americanos (OEA);Las Becas para Estudios Académicos de Posgrado e Investigación - OEA, 2021 son otorgadas para realizar estudios a tiempo completo en cualquier universidad de los Estados Miembros de la OEA, las becas no se otorgan para estudiar en el país patrocinador del postulante, la modalidad de estudio es presencial, a distancia (en línea) o una combinación de ambas. las becas se otorgan por un período mínimo de un (1) año y un máximo de dos (2) años académicos.;https://becas-sin-fronteras.com/beca/becas-para-estudios-academicos-de-posgrado-e-investigacion-oea-a0401/
Transcripciones/becas-sin-fronteras.com\Pagina5.txt.csv;Becas académicas de estudios de pregrado – OEA;Argentina, Bolivia, Brasil, Chile, Costa Rica, entre otros;Pregrado / Licenciatura;Organización de los Estados Americanos (OEA);Las Becas Académicas de la OEA para estudios de pregrado se otorgan para los dos últimos años académicos de una licenciatura a ciudadanos / residentes de un Estado Miembro de la OEA del Caribe angloparlante y Surinam. La modalidad de estudio es presencial, en línea o una combinación de ambos. Las solicitudes de becas para estudios en línea se priorizarán en el momento de la selección.;https://becas-sin-fronteras.com/beca/becas-academicas-de-estudios-de-pregrado-oea-a1593/
Transcripciones/its.ac.idinternatio\Pagina6.txt.csv;Beca KNB;Indonesia;Maestría, Doctorado;Gobierno de Indonesia;La Beca Kemitraan Negara Berkembang, conocida popularmente como Beca KNB, es una ayuda financiera ofrecida por el gobierno de Indonesia para prospectar a estudiantes internacionales provenientes de países en desarrollo para obtener su maestría en una de las universidades indonesias.;https://www.its.ac.id/international/experiencing-its/prospective-student/scholarship/knb/
Transcripciones/scholarships.uq.edu.au\Pagina7.txt.csv;Becas de estudios en la universidad de Queensland;Australia;Maestría, Doctorado, Posdoctorado, Investigación;Universidad de Queensland;Se ofrecen muchas becas para determinadas disciplinas académicas . Estas becas pueden ser para estudiantes matriculados en un título, escuela o facultad específicos, o para estudiantes que están investigando o estudiando un tema en particular.;https://scholarships.uq.edu.au/
Transcripciones/gist.ac.kriadmhtml\Pagina8.txt.csv;Becas GIST;Korea;Maestría, Doctorado;Gwangju Institute of Science and Technology;Esta beca ofrece soporte financiero en distintos campos para los estudiantes que apliquen a ellas;https://www.gist.ac.kr/iadm/html/sub04/04.html
Transcripciones/portal.icetex.gov.coPor\Pagina9.txt.csv;Estudios de Maestría o Doctorado en Taiwan;Taiwan;Maestría, Doctorado;Ministerio de Educación (MOE) de la República de China (Taiwán);Ofrece la oportunidad a profesionales colombianos de realizar estudios de maestría o doctorado en Taiwan.;https://portal.icetex.gov.co/Portal/Home/HomeEstudiante/becas/becas-para-estudios-en-el-exterior/becas-vigentes/conv-estudios-maestria-doctorado-taiwan
Transcripciones/educations.comstudy\Pagina10.txt.csv;Maestria en Ciberseguridad;Barcelona;Maestría;Universitat Politècnica de Catalunya;El objetivo del máster en Ciberseguridad es ofrecer a los estudiantes una sólida base científica en el campo de la seguridad de las tecnologías de la información para dotar a la sociedad de profesionales altamente especializados en protección de datos, protección de infraestructuras y protección de aplicaciones.;https://www.educations.com/study-abroad/universitat-politecnica-de-catalunya/masters-degree-in-cybersecurity-1498694
Transcripciones/educations.comstudy\Pagina11.txt.csv;Maestría en Inteligencia Artificial;Barcelona;Maestría;Universitat Politècnica de Catalunya;Garantiza una educación interdisciplinaria en la que la informática se cruza con la filosofía, la psicología, la lingüística, la ingeniería y otros campos. Se centra en la ingeniería del conocimiento, el aprendizaje automático y los sistemas de agentes múltiples, el procesamiento del lenguaje natural, el razonamiento y la resolución de problemas, la informática blanda y las tecnologías de IA, y la aplicación de técnicas de IA a la práctica profesional.;https://www.educations.com/study-abroad/universitat-politecnica-de-catalunya/masters-degree-in-artificial-intelligence-1498690
Transcripciones/educations.comstudy\Pagina12.txt.csv;Maestría en Desarrollo de Juegos;Croacia;Maestría;Algebra University College;Busca que los estudiantes aprendan a desarrollar juegos en todas las plataformas y analizar las tendencias modernas y futuras para equipar mejor su conjunto de habilidades para estar en línea y por delante de la curva de desarrollo.;https://www.educations.com/study-abroad/algebra-university-college/master-in-game-development-801115
Transcripciones/educations.comstudy\Pagina13.txt.csv;Máster interuniversitario en Ingeniería Computacional y Matemáticas;Tarragona;Maestría;Universitat Rovira i Virgili;El Máster online URV-UOC en Ingeniería Computacional y Matemática (ECiM) ofrece una formación interdisciplinar en ingeniería y ciencias aplicadas. El programa ECiM incluye temas de vanguardia como modelado y simulación por computadora, métodos numéricos, computación paralela y distribuida, representación del conocimiento, redes y gráficos, y optimización aplicada.;https://www.educations.com/study-abroad/university-of-rovira-i-virgili/inter-university-masters-degree-in-computational-engineering-and-mathematics-1425625
Transcripciones/educations.comstudy\Pagina14.txt.csv;Diseño MA 3D para entornos virtuales;Glasgow;Maestría;Glasgow Caledonian University;El programa  MA 3D Design for Virtual Environments está orientado hacia las necesidades industriales, la tecnología y la práctica actuales y está destinado a proporcionar a los estudiantes las habilidades clave necesarias para desarrollar la competencia práctica y teórica en cualquier área especializada de animación 3D.;https://www.educations.com/study-abroad/glasgow-caledonian-university/ma-3d-design-for-virtual-environments-159119
Transcripciones/educations.comstudy\Pagina15.txt.csv;Maestría en Ciberseguridad;Estocolmo;Maestría;KTH Royal Institute of Technology;El programa de maestría en Ciberseguridad brinda a los estudiantes acceso a todos los cursos que ofrece la facultad en ciberseguridad en KTH. El programa comienza con cursos obligatorios que brindan una descripción general del campo, con un curso en, por ejemplo, piratería ética, y una base sólida en el pilar de seguridad fundamental de la criptografía.;https://www.educations.com/study-abroad/kth-royal-institute-of-technology/masters-in-cybersecurity-1593246
Transcripciones/educations.comstudy\Pagina16.txt.csv;Máster en Gestión de la Ciberseguridad;Lituania;Maestría;Mykolas Romeris University;El programa Cybersecurity Management es una excelente opción para estudiar si está interesado en la protección de los datos, la infraestructura crítica y las fuentes de información, si cree en la creciente necesidad de una gestión eficaz de los datos, los procesos de seguridad, los recursos humanos y la creciente demanda de ciberseguridad;https://www.educations.com/study-abroad/mykolas-romeris-university/master-in-cybersecurity-management-1523539
Transcripciones/educations.comstudy\Pagina17.txt.csv;Máster en línea en gestión de blockchain;Virtual;Maestría;GBSB Global Business School;El plan de estudios de la Maestría en línea en gestión de cadenas de bloques de GBSB Global ofrece información detallada y un dominio completo de los fundamentos de la cadena de bloques, al mismo tiempo que ayuda a los estudiantes a convertirse en analistas críticos de los procesos, prácticas y herramientas que implica esta tecnología innovadora;https://www.educations.com/study-abroad/gbsb-global-business-school/online-master-in-blockchain-management-1578010
Transcripciones/educations.comstudy\Pagina18.txt.csv;Maestría en Big Data, Marketing y Gestión;Toulouse;Maestría;TBS Education - Toulouse Campus;El Master of Science in Big Data, Marketing & Management (D2M) en Toulouse Business School, tiene como objetivo proporcionar una sólida formación multidisciplinar para ayudar a equipar a los estudiantes con las habilidades necesarias para resolver los problemas de marketing de hoy y convertirse en una parte esencial de su futuro. proceso de toma de decisiones de las empresas.;https://www.educations.com/study-abroad/tbs-education-tbs-group/tbs-education-toulouse-campus/msc-big-data-marketing-and-management-1413043
Transcripciones/educations.comstudy\Pagina19.txt.csv;Máster Erasmus Mundus en Gestión y Análisis de Big Data (BDMA);Barcelona;Maestría;Universitat Politècnica de Catalunya;El máster Erasmus Mundus en Big Data Management and Analytics (BDMA) proporciona a los estudiantes la formación integral necesaria para que comprendan, aprendan y adquieran habilidades de BI y desarrollen estrategias de toma de decisiones para los negocios.;https://www.educations.com/study-abroad/universitat-politecnica-de-catalunya/erasmus-mundus-master-in-big-data-management-and-analytics-bdma-1498678
Transcripciones/educations.comstudy\Pagina20.txt.csv;Máster en Infografía, Juegos y Realidad Virtual;Móstoles;Maestría;Rey Juan Carlos University;Adecuar la formación del alumno a las necesidades que encontrará al desarrollar aplicaciones o investigar en esta área, lo que requiere tener en cuenta materias que incluyen fundamentos, metodologías, tecnologías, aplicaciones, etc.;https://www.educations.com/study-abroad/rey-juan-carlos-univesity/master-in-computer-graphics-games-and-virtual-reality-1033162
Transcripciones/portal.icetex.gov.coPor\Pagina21.txt.csv;Estudios de Doctorado en diferentes áreas en Rusia;Rusia;Doctorado;Gobierno de la Federación de Rusia;Ofrecer la oportunidad a profesionales colombianos de realizar sus estudios de doctorado en Universidades de la Federación de Rusia.;https://portal.icetex.gov.co/Portal/Home/HomeEstudiante/becas/becas-para-estudios-en-el-exterior/becas-vigentes/gdes-estudios-doctorado-diferentes-areas-rusia/
Transcripciones/portal.icetex.gov.coPor\Pagina22.txt.csv;Maestrías en diferentes áreas en Rusia;Rusia;Maestría;Gobierno de la Federación de Rusia;Ofrecer la oportunidad a profesionales colombianos de realizar sus estudios de maestría en universidades de la Federación de Rusia.;https://portal.icetex.gov.co/Portal/Home/HomeEstudiante/becas/becas-para-estudios-en-el-exterior/becas-vigentes/gdes-maestria-diferentes-areas-rusia
Transcripciones/buildyourfuture.withgoog\Pagina23.txt.csv;Beca Generation Google: para mujeres en informática;Europa, Medio Oriente y África;Pregrado / Licenciatura, Maestría, Doctorado;Google;La Beca Generation Google: para mujeres en ciencias de la computación se estableció para ayudar a las aspirantes a informáticas a sobresalir en tecnología y convertirse en líderes en el campo;https://buildyourfuture.withgoogle.com/scholarships/generation-google-scholarship-emea/
Transcripciones/becas-sin-fronteras.com\Pagina24.txt.csv;Beca para maestría en Ciberseguridad en Arabia Saudita;Arabia Saudi;Maestría;Universidad Prince Sultan;La Beca para maestría en Ciberseguridad en Arabia Saudita,  es convocada por la Universidad Prince Sultan y se dirige a jóvenes estudiantes interesados en capacitarse en áreas como, desarrollo de sistemas anti-drones, sistemas aéreos no tripulados, internet de las cosas, etc.;https://becas-sin-fronteras.com/beca/beca-para-maestria-en-ciberseguridad-en-arabia-saudita-a2104/
Transcripciones/becas-sin-fronteras.com\Pagina25.txt.csv;Becas Facebook Fellowship Program;Alemania, Argentina, Brasil, España, Paises Bajos, entre otros;Doctorado;Fundación Becas Facebook;Facebook es una de las plataformas con mayor reconocimiento mundial, permitiendo que la Fundación de financiación de becas de doctorado a nivel mundial cuente con gran respeto de entidades y organizaciones de años de experiencia en el área de educación superior.;https://becas-sin-fronteras.com/beca/becas-facebook-fellowship-program-a1036/
Transcripciones/graduate2.korea.ac.krgr\Pagina26.txt.csv;Becas KU;Corea;Maestría, Doctorado;Universidad de Corea;Alrededor del 80% de todos los estudiantes internacionales admitidos recibirán becas. Los estudiantes internacionales pueden solicitar esta beca cuando soliciten la admisión a la Universidad de Corea;https://graduate2.korea.ac.kr/gradeng/scholarships.do
Transcripciones/grants.aten=MzM5MzhfM\Pagina27.txt.csv;Becas de excelencia de maestría para estudiantes en informática;Austria;Maestría;Siemens Aktiengesellschaft Österreich and TU Graz;Junto con la Universidad de Tecnología de Graz, Siemens T UR (Relaciones con la Universidad de Tecnología) otorga dos becas para estudiantes talentosos y capaces en el programa de maestría para científicos informáticos.;https://grants.at/en/?=MzM5MzhfMzU3NThfNjE=
Transcripciones/tugraz.atenstudyin\Pagina28.txt.csv;Becas de maestría de excelencia para estudiantes en informática;Austria;Maestría;Siemens Aktiengesellschaft Österreich and TU Graz;Dos Siemens Las becas se otorgarán a estudiantes de maestría en la Ciencia de la Computación , Ingeniería de Software y Gestión , o de la Información y de Ingeniería Informática programas;https://www.tugraz.at/en/studying-and-teaching/studying-at-tu-graz/prospective-students/financial-matters/scholarships-for-students/siemens-scholarships/
Transcripciones/portal.icetex.gov.coPor\Pagina29.txt.csv;Programas de Maestría en la Universidad Internacional de la Rioja;Virtual;Maestría;Universidad Internacional de La Rioja;La Universidad Internacional de La Rioja otorgará 36 becas de posgrado a nivel de Maestría a profesionales universitarios en todo el país. El aspirante tendrá la posibilidad de postularse a uno de los 91 programas de maestría oficiales relacionados en esta convocatoria.;https://portal.icetex.gov.co/Portal/Home/HomeEstudiante/becas/becas-para-estudios-en-el-exterior/becas-vigentes/programas-de-maestria-en-la-universidad-internacional-de-la-rioja
